Title,Company,Salary,AverageSalary,,AverageSalary,pinglu
字节跳动,资深POI视觉设计师,15k-30k,22.5,,,
幼狮传播,资深视觉设计师,8k-10k,9,,,
优幕网,UI设计师,8k-12k,10,,,
介面,平面设计师／视觉设计师／修图师,6k-12k,9,,,
携程,视觉设计师,10k-20k,15,,,
普道咨询,UI设计师,15k-25k,20,,,
友塔游戏,游戏UI设计师,6k-12k,9,,,
Know Yourself,视觉设计师,10k-20k,15,,,
上海蓝媒,UI/视觉设计师,8k-12k,10,,,
童天网络,UI游戏界面设计师,10k-15k,12.5,,,
小站教育,UI主管,15k-25k,20,,,
亿动广告传媒(Madhouse),视觉设计实习生,2k-4k,3,,,
伏睿游戏,游戏UI设计师,8k-15k,11.5,,,
字节跳动,UI/视觉设计师,15k-30k,22.5,,,
友塔游戏,游戏UI设计师,5k-10k,7.5,,,
遨龙科技,UI设计师助理,3k-6k,4.5,,,
有鱼金融科技,ui设计师,8k-16k,12,,,
沙克家具,视觉设计师,5k-8k,6.5,,,
格林豪泰,UI设计师,8k-15k,11.5,,,
爱回收,UI设计师,10k-20k,15,,,
猫眼电影,视觉设计师（UI设计方向）,15k-25k,20,,,
惠龙易通,UI设计师,5k-10k,7.5,,,
触宝,UX/UI 设计经理,20k-30k,25,,,
云睿,高级UI设计师,15k-25k,20,,,
幻萌网络,游戏UI设计师,8k-16k,12,,,
乐其网络,UI设计师,6k-8k,7,,,
全速网络,视觉设计师（外派饿了么）,7k-9k,8,,,
时年信息,游戏UI设计,12k-20k,16,,,
上海柏优文化传播有限公司,UI设计师,4k-8k,6,,,
上海极安科技,UI设计师,15k-30k,22.5,,,
V.Photos云摄影,视觉设计师,20k-30k,25,,,
翻动网络,游戏UI设计,5k-8k,6.5,,,
赛可出行,UI设计师,10k-20k,15,,,
乐其网络,UI设计师/平面设计师,8k-13k,10.5,,,
微漫网络,UI设计师,8k-16k,12,,,
上海剑闻网络,游戏界面设计UI,8k-15k,11.5,,,
90玩,游戏美术UI设计师,8k-15k,11.5,,,
英语流利说,UI设计师,15k-25k,20,,,
上海彩酱智能机器人,诚聘网店美工/视觉设计师,8k-10k,9,,,
BIGBANG | 大邦创新,资深视觉设计师,12k-20k,16,,,
比比,UI,8k-12k,10,,,
财联社,高级视觉设计师,12k-18k,15,,,
聚加互动,UI设计师,6k-10k,8,,,
上海同道,视觉设计师,8k-15k,11.5,,,
纳尚商贸,视觉设计经理,10k-15k,12.5,,,
Vechain,UI设计师,10k-20k,15,,,
游牛信息,游戏UI设计师,10k-12k,11,,,
购品置,资深ui设计师,20k-30k,25,,,
朗绿科技,UI设计,10k-17k,13.5,,,
空降联盟,UI设计师,10k-15k,12.5,,,
盒子科技,UI/UE设计师,10k-15k,12.5,,,
传音控股,资深视觉设计师,20k-30k,25,,,
韩创科技,品牌视觉设计师,10k-15k,12.5,,,
粮全其美,平面设计/视觉设计（周杰伦代言）,9k-13k,11,,,
MOLBASE,UI设计师,10k-15k,12.5,,,
掌门1对1在线教育,UI设计师,15k-30k,22.5,,,
信念科技,UI设计师,7k-14k,10.5,,,
名片全能王,UI实习生,4k-5k,4.5,,,
AnyHelper,UI设计师,8k-12k,10,,,
Getti,UI设计师,15k-25k,20,,,
半次元,UI设计师,10k-20k,15,,,
上海第一财经数据,视觉设计实习生,2k-3k,2.5,,,
盟鼎网络,ui设计师,10k-18k,14,,,
BIGBANG | 大邦创新,视觉设计师,6k-12k,9,,,
商米科技,UI设计师,15k-25k,20,,,
略晓网络,ui设计师,9k-13k,11,,,
FunPlus 趣加游戏,UI开发工程师,15k-30k,22.5,,,
数字共和,资深视觉设计师,15k-20k,17.5,,,
INTO,新媒体-UI设计实习生,3k-4k,3.5,,,
上海诣新科技,ui设计师,7k-10k,8.5,,,
钱咖,高级ui设计师,15k-25k,20,,,
宝燕集团,UI设计师,6k-10k,8,,,
上海魔集派,手游ui设计师,7k-14k,10.5,,,
上海第一财经数据,视觉设计师,6k-12k,9,,,
车音智能,高级UI视觉设计师,10k-20k,15,,,
高澜节能,UI设计师,15k-30k,22.5,,,
铂漫,UI主管,15k-20k,17.5,,,
Rela热拉-多元女性社区,视觉设计师,10k-15k,12.5,,,
