Title,Company,Salary,AverageSalary,,AverageSalary,pinglu
爱奇艺,弹幕产品经理,15k-30k,22.5,,,
多赋信息,产品经理,10k-20k,15,,,
小红书,产品经理实习生,2k-4k,3,,,
Glow,初级产品经理 / 用户增长方向,15k-25k,20,,,
百灵鸟,高级产品经理,20k-40k,30,,,
中易电通,产品经理,10k-20k,15,,,
有鱼金融科技,产品经理,14k-28k,21,,,
韩创科技,产品经理,10k-15k,12.5,,,
闪电降价APP,数据产品经理,25k-50k,37.5,,,
招银云创,云产品经理,15k-30k,22.5,,,
勋立科技,产品经理,10k-15k,12.5,,,
聚信立,产品经理,20k-30k,25,,,
朴存投资,app产品经理,10k-20k,15,,,
上汽云计算中心,云计算产品经理,25k-50k,37.5,,,
达达-京东到家,产品经理-配送产品方向,15k-30k,22.5,,,
映春科技,产品经理,6k-12k,9,,,
交行信用卡中心,产品经理,15k-20k,17.5,,,
翊劢,产品经理,8k-11k,9.5,,,
Ping++,产品经理（C端方向）,15k-30k,22.5,,,
齐家网,高级产品经理,15k-30k,22.5,,,
东方福利网,数据产品经理,15k-28k,21.5,,,
有鱼金融科技,产品经理（徐汇）,12k-24k,18,,,
达达-京东到家,产品经理,15k-25k,20,,,
优复教育,产品经理,4k-8k,6,,,
乐其网络,产品经理,20k-25k,22.5,,,
顺益信息科技,产品经理,9k-15k,12,,,
我查查,产品经理,13k-18k,15.5,,,
蜜柚旅行,产品经理,8k-12k,10,,,
小站教育,产品经理,15k-25k,20,,,
阿拉小优,产品经理,12k-18k,15,,,
尚标知识产权集团,产品经理,10k-20k,15,,,
药房网商城,产品经理,15k-25k,20,,,
海知智能,产品经理（all-level),15k-30k,22.5,,,
掌门1对1在线教育,产品经理,12k-22k,17,,,
上海寰溪科技,产品经理,20k-35k,27.5,,,
同程艺龙,产品经理,15k-30k,22.5,,,
有鱼金融科技,产品经理,15k-30k,22.5,,,
京东汽车商城,产品经理,15k-20k,17.5,,,
zilliz,产品经理,15k-30k,22.5,,,
凹凸租车,产品经理-搜索,15k-30k,22.5,,,
泛微,产品经理,7k-10k,8.5,,,
开阖软件,产品经理,15k-25k,20,,,
乐言科技,产品经理,15k-30k,22.5,,,
方付通,电商产品经理,15k-30k,22.5,,,
上海创蓝文化传播有限公司,产品经理,20k-40k,30,,,
图趣科技,产品经理,20k-40k,30,,,
上海聊聊,产品经理,12k-20k,16,,,
新潮传媒,数据产品经理,15k-25k,20,,,
Versa,高级产品经理,20k-30k,25,,,
游族网络,产品经理,8k-15k,11.5,,,
