Title,Company,Salary,AverageSalary,,AverageSalary,pinglu
群星金融,Java高级研发工程师,20k-30k,25,,,
播呗,Java高级工程师,18k-26k,22,,,
美莱集团,Java开发工程师（HIS）,15k-25k,20,,,
一書一課,高级 Java 开发工程师,18k-25k,21.5,,,
嬴客网络,java开发工程师（高并发）,25k-35k,30,,,
飞贷金融科技,Java工程师,12k-24k,18,,,
喔噻科技,Java开发工程师（推送系统）,15k-30k,22.5,,,
长投网,高级Java工程师,15k-25k,20,,,
威斯科技,java高级工程师,28k-50k,39,,,
倍增科技,JAVA,15k-30k,22.5,,,
微知,高级Java工程师,20k-30k,25,,,
海万科技,java工程师,8k-12k,10,,,
群星金融,资深Java开发工程师,15k-25k,20,,,
上海中软华腾软件系统有限公司,Java,13k-25k,19,,,
倍增科技,JAVA,15k-30k,22.5,,,
微知,高级Java工程师,20k-30k,25,,,
爱奇艺,Java研发工程师-校招,10k-20k,15,,,
汉德森日用保健品（上海）有限公司,高级Java开发工程师,25k-35k,30,,,
银生宝,Java开发工程师（业务组）,8k-12k,10,,,
喔噻科技,高级Java开发工程师,20k-40k,30,,,
拉卡拉云商网络有限公司,高级Java开发工程师,20k-25k,22.5,,,
买单侠,高级JAVA开发,15k-25k,20,,,
透云科技,Java高级开发工程师,15k-30k,22.5,,,
博奥特科技,JAVA开发,8k-14k,11,,,
联元智能科技,高级Java开发工程师,18k-25k,21.5,,,
微盟,Java工程师/高级软件工程师,15k-25k,20,,,
海万科技,Java开发工程师,12k-20k,16,,,
群星金融,中级Java开发工程师,10k-20k,15,,,
上海中软华腾软件系统有限公司,Java开发工程师,10k-20k,15,,,
读客文化,高级java开发工程师,10k-20k,15,,,
上海沃鎏波洱,高级JAVA,13k-25k,19,,,
挖财,Java高级开发工程师（MJ000645）,25k-35k,30,,,
上海金蝶,高级java开发工程师,10k-20k,15,,,
百安居,JAVA高级工程师,20k-35k,27.5,,,
Soul App,高级Java开发工程师,20k-35k,27.5,,,
诺誉投资,高级JAVA工程师,15k-30k,22.5,,,
天鲜配,JAVA技术专家,30k-40k,35,,,
爱库存,高级/资深Java开发工程师,30k-40k,35,,,
复星金服,java高级开发工程师,19k-35k,27,,,
上海印鹰happyeasygo,Java开发经理,35k-40k,37.5,,,
长投网,中级Java工程师,15k-20k,17.5,,,
海万科技,java开发工程师,13k-18k,15.5,,,
上海中软华腾软件系统有限公司,Java开发,12k-24k,18,,,
复兰科技,Java开发工程师,10k-13k,11.5,,,
上汽云计算中心,Java开发工程师,15k-30k,22.5,,,
方翼,java,18k-36k,27,,,
阿里体育,JAVA开发工程师,15k-30k,22.5,,,
诺道医学,java开发工程师,10k-15k,12.5,,,
微创,Java 开发,13k-17k,15,,,
ALTEN CHINA,JAVA 开发,11k-17k,14,,,
穗禾科技,Java高级开发工程师,15k-22k,18.5,,,
NIO蔚来,Java开发工程师,15k-30k,22.5,,,
华夏信财,java开发工程师,19k-27k,23,,,
威斯科技,java技术专家,25k-50k,37.5,,,
TutorABC英语,JAVA工程师,15k-25k,20,,,
同程艺龙,高级Java开发工程师,18k-30k,24,,,
海万科技,java工程师,12k-18k,15,,,
上海锦督,Java开发工程师,10k-20k,15,,,
创秘科技,JAVA工程师,10k-20k,15,,,
享骑出行,Java高级开发工程师,15k-30k,22.5,,,
新潮传媒,Java高级软件工程师(J10383),15k-30k,22.5,,,
证通股份,Java开发工程师（技术规划）,12k-23k,17.5,,,
英栎网,java开发工程师,14k-21k,17.5,,,
爱客CRM,技术经理/开发经理(Java),23k-28k,25.5,,,
mingbo,java后端开发工程师,14k-20k,17,,,
VIP陪练,JAVA开发工程师,15k-30k,22.5,,,
上海中软华腾软件系统有限公司,java高级开发工程师,20k-30k,25,,,
华院数据,java开发实习生,4k-6k,5,,,
汉得信息,Java高级工程师/架构师,18k-25k,21.5,,,
Dfocus,中级/高级Java工程师,15k-30k,22.5,,,
找油网,高级java工程师,25k-30k,27.5,,,
海万科技,java工程师,8k-15k,11.5,,,
