
Company,positionName,Salary,AverageSalary,Labels,Welfare,classification,Financing,personsNumber
西蒙 simon,UI交互设计师,10k-18k,14.0,,"“行业前景佳,平台大”",其他,上市公司,2000人以上
淘集集,ue交互设计师,15k-20k,17.5,,“15薪 发展迅速”,电子商务,B轮,500-2000人
Gridsum 国双,交互设计师UE,10k-20k,15.0,,“大数据上市公司、牛人多”,"数据服务,企业服务",上市公司,500-2000人
拾梦文化,ue交互设计师,20k-30k,25.0,,"“每日水果,临近地铁”","游戏,移动互联网",A轮,50-150人
毒APP,交互设计师ue,20k-40k,30.0,,“绩效奖金”,"移动互联网,电子商务",A轮,150-500人
31会议,交互设计师ue,12k-18k,15.0,,“UI设计 视觉”,"电子商务,企业服务",A轮,150-500人
Company,positionName,Salary,AverageSalary,Labels,Welfare,classification,Financing,personsNumber
美味不用等,JAVA高级开发工程师,20k-28k,24.0,,“免费健身房 下午茶 弹性工作制”,"移动互联网,O2O",D轮及以上,500-2000人
巧房科技,Java微服务资深开发,20k-35k,27.5,,“福利多多”,"移动互联网,企业服务",C轮,150-500人
达达-京东到家,Java工程师,20k-35k,27.5,,"“风口平台,技术驱动,系统重构”",O2O,D轮及以上,2000人以上
平安科技,11213E-java开发工程师,15k-30k,22.5,,"“五险一金,带薪年假,节日福利,绩效奖金”",金融,不需要融资,2000人以上
平安人寿,java开发工程师,10k-20k,15.0,,“五险一金 年终奖”,金融,上市公司,2000人以上
DeNA China,Java开发工程师（SDK服务端）,15k-30k,22.5,,“弹性工作、带薪假期多、六险一金、绩效奖金”,"移动互联网,游戏",不需要融资,150-500人
IntraMirror,java开发工程师,15k-30k,22.5,,"“发展前景好,福利好,专家多,氛围好”",移动互联网,A轮,50-150人
搜股,JAVA工程师,11k-17k,14.0,,"“五险一金,互联网科技,双休”","金融,移动互联网",A轮,50-150人
龙湖集团,java开发工程师,20k-25k,22.5,,“发展前景、福利好、世界500强”,其他,上市公司,2000人以上
元笛,java开发工程师,12k-20k,16.0,,“软件”,"移动互联网,企业服务",未融资,50-150人
猫眼电影,java开发工程师,15k-30k,22.5,,"“行业巨头,丰厚薪资,福利多多,氛围好”","移动互联网,文化娱乐",未融资,500-2000人
vivo,Java软件工程师（Base南京）,15k-30k,22.5,,"“高成长,高潜力,高回报”",移动互联网,未融资,2000人以上
英语流利说,java开发,20k-40k,30.0,,“上市公司”,"移动互联网,教育",上市公司,2000人以上
CLPS,java开发工程师,15k-20k,17.5,,"“六险一金,年终奖,带薪年假”","数据服务,金融",未融资,500-2000人
轻轻家教,高级java开发工程师,15k-20k,17.5,,“团队氛围好；扁平化管理”,"移动互联网,教育",D轮及以上,2000人以上
美味不用等,JAVA高级开发工程师,20k-28k,24.0,,“免费健身房 下午茶 弹性工作制”,"移动互联网,O2O",D轮及以上,500-2000人
巧房科技,Java微服务资深开发,20k-35k,27.5,,“福利多多”,"移动互联网,企业服务",C轮,150-500人
达达-京东到家,Java工程师,20k-35k,27.5,,"“风口平台,技术驱动,系统重构”",O2O,D轮及以上,2000人以上
平安科技,11213E-java开发工程师,15k-30k,22.5,,"“五险一金,带薪年假,节日福利,绩效奖金”",金融,不需要融资,2000人以上
平安人寿,java开发工程师,10k-20k,15.0,,“五险一金 年终奖”,金融,上市公司,2000人以上
DeNA China,Java开发工程师（SDK服务端）,15k-30k,22.5,,“弹性工作、带薪假期多、六险一金、绩效奖金”,"移动互联网,游戏",不需要融资,150-500人
IntraMirror,java开发工程师,15k-30k,22.5,,"“发展前景好,福利好,专家多,氛围好”",移动互联网,A轮,50-150人
搜股,JAVA工程师,11k-17k,14.0,,"“五险一金,互联网科技,双休”","金融,移动互联网",A轮,50-150人
龙湖集团,java开发工程师,20k-25k,22.5,,“发展前景、福利好、世界500强”,其他,上市公司,2000人以上
元笛,java开发工程师,12k-20k,16.0,,“软件”,"移动互联网,企业服务",未融资,50-150人
猫眼电影,java开发工程师,15k-30k,22.5,,"“行业巨头,丰厚薪资,福利多多,氛围好”","移动互联网,文化娱乐",未融资,500-2000人
vivo,Java软件工程师（Base南京）,15k-30k,22.5,,"“高成长,高潜力,高回报”",移动互联网,未融资,2000人以上
英语流利说,java开发,20k-40k,30.0,,“上市公司”,"移动互联网,教育",上市公司,2000人以上
CLPS,java开发工程师,15k-20k,17.5,,"“六险一金,年终奖,带薪年假”","数据服务,金融",未融资,500-2000人
轻轻家教,高级java开发工程师,15k-20k,17.5,,“团队氛围好；扁平化管理”,"移动互联网,教育",D轮及以上,2000人以上
达达-京东到家,高级Java开发工程师,20k-35k,27.5,,“技术驱动、风口平台、账户交易平台”,O2O,D轮及以上,2000人以上
平安科技,112155-资深JAVA开发工程师,12k-22k,17.0,,"“五险一金,绩效奖金,带薪年假,定期体检”",金融,不需要融资,2000人以上
WeWork,Senior Java Developer,30k-60k,45.0,,“补充医疗保险 国外旅游 带薪年假”,企业服务,D轮及以上,500-2000人
海万科技,初级Java开发工程师,4k-6k,5.0,,“应届本科计算机相关专业”,"移动互联网,金融",不需要融资,500-2000人
华为技术有限公司,Java开发工程师,20k-40k,30.0,,"“内部定级15+
优秀者有配股”",硬件,不需要融资,2000人以上
汇智聚能,Java开发工程师,11k-18k,14.5,,“很好的发展空间”,金融 数据服务,不需要融资,150-500人
远东国际租赁有限公司,Java开发工程师,12k-24k,18.0,,“五险一金，商业保险，晋升通道。”,金融,上市公司,2000人以上
概率论 - 社交实验站,JAVA 开发工程师,11k-18k,14.5,,“扁平化管理 团队有趣 领导nice”,社交网络,天使轮,15-50人
上海羿楫信息,Java开发工程师,8k-16k,12.0,,“年底公司分红及未来上市股权激励”,移动互联网,未融资,15-50人
哲然信息,Java开发工程师,9k-14k,11.5,,“很好的发展空间，加入我们是你们的不二选择”,信息安全、移动互联网,未融资,150-500人
合肥杰赛信息科技有限公司,java,30k-40k,35.0,,“福利待遇优厚”,"移动互联网,数据服务",未融资,150-500人
上海新影捷信息技术有限公司,java,10k-13k,11.5,,“舒适的工作环境 良好的工作氛围”,"教育,数据服务",未融资,50-150人
上海启续,Java开发工程师,10k-15k,12.5,,“福利待遇好，双休，发展前景大”,移动互联网、企业服务,不需要融资,50-150人
长量基金,中级java开发工程师（项目经理）,15k-22k,18.5,,"“平台好,活动多,培训多”",金融,未融资,50-150人
芷骏贸易,java工程师（汉得信息）,12k-15k,13.5,,“年终奖 餐饮补贴 项目补贴 交通补贴”,移动互联网,上市公司,2000人以上
平安科技,11124D-高级java开发工程师,10k-20k,15.0,,"“五险一金,绩效奖金,加班补助,交通补助”",金融,不需要融资,2000人以上
达达-京东到家,Java架构师,20k-40k,30.0,,"“高并发,互联网”",O2O,D轮及以上,2000人以上
上海灰睿网络,java开发工程师,10k-14k,12.0,,“做五休二”,移动互联网,未融资,50-150人
DeNA China,资深JAVA服务器开发,20k-35k,27.5,,“扁平化管理薪酬福利佳弹性工作制企业文化好”,"移动互联网,游戏",不需要融资,150-500人
驰链科技,java开发工程师（中高级）,12k-16k,14.0,,“公司成长期，招聘的是团队核心成员。”,"移动互联网,区块链",天使轮,15-50人
wuyijituan,资深Java开发,30k-45k,37.5,,“发展平台宽 项目好”,"O2O,生活服务",未融资,150-500人
大搜车,高级Java研发工程师07-02-09,15k-25k,20.0,,“福利好，环境好”,"移动互联网,O2O",D轮及以上,2000人以上
拉卡拉云商网络有限公司,java架构师,25k-36k,30.5,,"“上升空间大,技术牛人多,团队氛围好”","电子商务,金融",不需要融资,500-2000人
猩便利,高级java开发工程师,20k-35k,27.5,,“行业新概念 广阔发展平台”,"移动互联网,其他",A轮,500-2000人
广西兴球建筑工程有限公司,高级java开发工程师,30k-60k,45.0,,“测试开发”,移动互联网、其他,A轮,150-500人
水象科技,java游戏服务器开发工程师,15k-25k,20.0,,“五险一金 双休 免费食堂 氛围好”,电子商务,未融资,2000人以上
和沁,高级JAVA工程师/架构师,15k-25k,20.0,,"“创意,咖啡文化,美少女团队”",其他,不需要融资,150-500人
汉朔科技,Java高级工程师（AI方向）,20k-26k,23.0,,“独角兽企业，七险一金，发展空间大”,移动互联网,D轮及以上,500-2000人
芷骏贸易,高级java工程师/项目leader（汉得信息）,15k-20k,17.5,,“年终奖 餐饮补贴 项目补贴 交通补贴”,移动互联网,上市公司,2000人以上
力引万物,高级java开发工程师,18k-22k,20.0,,“boss nice、氛围好、国际市场”,数据服务 人工智能,A轮,50-150人
平安科技,11210F-高级Java开发工程师,15k-25k,20.0,,"“五险一金,绩效奖金,带薪年假,定期体检”",金融,不需要融资,2000人以上
达达-京东到家,Java架构师,30k-50k,40.0,,"“风口平台,技术驱动,系统重构”",O2O,D轮及以上,2000人以上
上海豆子网络科技有限公司,JAVA服务器开发,25k-35k,30.0,,“公司前景好”,游戏,不需要融资,150-500人
宁波七度信息技术有限公司,Java开发工程师,13k-18k,15.5,,“福利待遇优厚，扁平化管理”,"移动互联网,教育",天使轮,少于15人
野子网络,游戏java,8k-15k,11.5,,“开森 气氛活跃 奖金优秀”,移动互联网,A轮,15-50人
江融信,架构师java,28k-40k,34.0,,“每年调薪，上升空间大，福利待遇好”,"移动互联网,其他",B轮,150-500人
商汤科技,Java开发工程师,15k-25k,20.0,,“大牛云集；扁平管理；带薪年假”,移动互联网,C轮,2000人以上
收钱吧,java开发（开放平台）,20k-40k,30.0,,“平台大，福利好，牛人多，晋升机会，期权”,移动互联网,C轮,500-2000人
招商银行信用卡中心,Java开发工程师（O2O）,20k-35k,27.5,,"“赋能文化,年终奖,大牛”","移动互联网,金融",上市公司,2000人以上
