Company,positionName,Salary,AverageSalary,Labels,Welfare,classification,Financing,personsNumber
爱客CRM,产品经理,15k-30k,22.5,"
                    
                        ","“弹性工作,餐饮补贴,员工旅游,定期团建”",移动互联网,B轮,0
TutorABC英语,产品经理,15k-25k,20.0,"
                    
                        ","“五险一金,早餐水果”","移动互联网,教育",C轮,0
纳米盒,产品经理,10k-20k,15.0,"
                    
                        ","“平台大,发展快,行业新,领导好”","移动互联网,教育",B轮,0
我奇,产品经理,12k-20k,16.0,"
                    
                ","“卓越产品观,充足现金流,学习型团队,快乐归属感”","电子商务,文化娱乐",未融资,0
上海砸立,高级产品经理,10k-20k,15.0,"
                    
                        ","“扁平化管理,高颜值产品,有技术大牛,奖励多且快”","移动互联网,电子商务",B轮,0
Datatist,高级产品经理,20k-40k,30.0,"
                    
                        ","“硅谷团队,发15m,晋升平台,氛围好”","数据服务,广告营销",A轮,0
海万科技,产品经理,8k-15k,11.5,"
                    
                        ","“五险一金,过节福利,生日礼金,旅游、体检”","移动互联网,金融",不需要融资,0
爱客CRM,产品经理,10k-20k,15.0,"
                    
                ","“开放文化,发挥空间大,优秀领导,期权”",移动互联网,B轮,0
妈妈帮,高级产品经理,15k-30k,22.5,"
                    
                        ","“牛人领导,关系简单,团队融洽,自由创新”","移动互联网,O2O",不需要融资,0
优复教育,产品经理,10k-20k,15.0,"
                    
                        ",“培训体系优，晋升机会大，福利好，授予股权”,"移动互联网,教育",A轮,0
径赢网络科技（上海）有限公司,产品经理,10k-20k,15.0,"
                    
                        ",“国际化办公环境、弹性工作制、办公室零食”,"数据服务,广告营销",天使轮,0
信用生活,产品经理,15k-28k,21.5,"
                    
                        ","“上下班不打,话费补贴,双休,年终奖”","移动互联网,金融",A轮,0
刘家网,产品经理,16k-30k,23.0,"
                    
                ",“双休，五险一金，创业”,"移动互联网,电子商务",未融资,0
Remix,产品经理,9k-14k,11.5,"
                    
                        ",“弹性工作时间 年度旅游”,移动互联网,未融资,5
麦子科技,高级产品经理,20k-30k,25.0,"
                    
                        ","“扁平管理,年底双薪”","移动互联网,医疗健康",A轮,0
趣头条,增长产品经理,25k-50k,37.5,"
                    
                ",“福利待遇、发展前景”,移动互联网,上市公司,0
河姆渡电子商务有限公司,高级产品经理,18k-25k,21.5,"
                    
                        ","“年终奖金,项目奖金,五险一金,弹性工作”",电子商务,A轮,0
快仓智能仓储,高级产品经理,20k-25k,22.5,"
                    
                        ","“发展前景好,福利待遇好,项目好,技术氛围好”","硬件,数据服务",C轮,0
淘集集,产品经理（小程序）,30k-50k,40.0,"
                    
                        ",“弹性工作制、加班餐、五险一金、年度旅游”,电子商务,未融资,0
微盟,产品经理,15k-25k,20.0,"
                    
                        ","“年底双薪,扁平管理,公司规模大”","移动互联网,电子商务",D轮及以上,0
爱库存,产品经理,15k-25k,20.0,"
                    
                        ",“年底奖金、免费中晚餐、办公环境优”,电子商务,B轮,0
海万科技,产品经理,8k-15k,11.5,"
                    
                        ",“晋升和转内部旅游体检五险一金过节费年终奖”,"移动互联网,金融",不需要融资,0
优复教育,产品经理,10k-20k,15.0,"
                    
                ",“培训体系优，晋升机会大，福利好，授予股权”,"移动互联网,教育",A轮,0
爱库存,产品经理,15k-25k,20.0,"
                    
                        ",“年底奖金、免费中晚餐、办公环境优”,电子商务,B轮,0
太美医疗科技,高级产品经理,15k-25k,20.0,"
                    
                        ","“弹性时间,15薪,无限量零食,领导好”",移动互联网,D轮及以上,0
上海稻池网络科技有限公司,产品经理,15k-25k,20.0,"
                    
                        ","“发展迅速,五险一金,上升空间”",移动互联网,未融资,0
VIP陪练,产品经理,15k-20k,17.5,"
                    
                        ","“薪资待遇好,团队氛围佳,十三薪,弹性工作”","移动互联网,教育",B轮,0
魔视智能,产品工程师,15k-20k,17.5,"
                    
                        ","“自动驾驶,人工智能,ADAS,汽车电子”","企业服务,其他",A轮,0
薄荷,高级产品经理,15k-25k,20.0,"
                    
                        ","“发展空间大,办公环境好,技术大牛多”","移动互联网,电子商务",B轮,0
捞月狗,产品经理,15k-30k,22.5,"
                    
                ","“发展空间大,团队氛围好,扁平化管理,电竞游戏”",移动互联网,C轮,0
溢米辅导,高级产品经理,18k-30k,24.0,"
                    
                        ",“晋升机会 大牛教带 奖金福利”,"移动互联网,教育",B轮,0
东方头条,产品经理,15k-25k,20.0,"
                    
                        ","“扁平化管理,晋升空间大,技术大牛多,弹性化”","移动互联网,社交网络",不需要融资,0
毅诺网络科技,高级产品经理,20k-35k,27.5,"
                    
                ","“定期团建,零食下午茶,五险一金,节日福利”","移动互联网,广告营销",A轮,0
客佳,产品经理,10k-20k,15.0,"
                    
                        ",“老板NICE 福利好 氛围好公司正规”,O2O,天使轮,0
万科,产品经理,20k-40k,30.0,"
                    
                        ","“世界五百强,薪资待遇好,地产龙头企,挑战大”","生活服务,硬件",上市公司,0
上海橡楠,产品经理,15k-20k,17.5,"
                    
                        ","“行业前景,弹性工作,股权激励”",移动互联网,天使轮,0
海万科技,产品经理,8k-15k,11.5,"
                    
                        ","“五险一金,过节福利,旅游、体检,生日礼金”","移动互联网,金融",不需要融资,0
优复教育,产品经理,15k-30k,22.5,"
                    
                        ",“培训体系优，晋升机会大，福利好，授予股权”,"移动互联网,教育",A轮,0
VIP陪练,产品经理,12k-18k,15.0,"
                    
                ",“产品经理”,"移动互联网,教育",B轮,0
上海橡楠,产品经理,15k-20k,17.5,"
                    
                        ","“行业前景,弹性工作,股权激励”",移动互联网,天使轮,0
陆金所,25115Z-互联网金融产品经理,13k-26k,19.5,"
                    
                        ","“五险一金,绩效奖金,带薪年假,定期体检”",金融,B轮,0
天会皓闻,高级产品经理,30k-50k,40.0,"
                    
                        ","“数据产品,技术驱动,态度大数据”",移动互联网,不需要融资,0
盛付通,连尚钱包-高级产品经理,20k-40k,30.0,"
                    
                        ","“大数据平台,千万级用户,弹性工作,福利待遇好”","移动互联网,金融",不需要融资,0
爱享到,高级产品经理,30k-50k,40.0,"
                    
                        ",“五险一金”,"移动互联网,生活服务",不需要融资,0
杭州绝地科技股份有限公司,欧美产品经理,15k-30k,22.5,"
                    
                        ","“14薪,有爱团队,试用期全薪”","移动互联网,游戏",不需要融资,0
商汤科技,软件产品经理,25k-30k,27.5,"
                    
                ",“人工智能”,移动互联网,C轮,0
票牛网,用户端 产品经理,15k-28k,21.5,"
                    
                        ","“完美的福利,竞争力薪酬,工作氛围好”","电子商务,移动互联网",B轮,0
太美医疗科技,高级产品经理 上海,15k-25k,20.0,"
                    
                        ",“五险一金 弹性时间 氛围轻松”,移动互联网,D轮及以上,0
狮博,产品经理,10k-20k,15.0,"
                    
                ","“空间大,餐补车贴,旅游基金,弹性工作”",其他、生活服务,不需要融资,0
爱客CRM,高级产品经理,15k-30k,22.5,"
                    
                        ","“开放文化,成长空间大,优秀领导,AI”",移动互联网,B轮,0
微盟,产品经理（萌店）,10k-20k,15.0,"
                    
                        ",“弹性上班 10天年假 员工俱乐部 奖金补贴”,"移动互联网,电子商务",D轮及以上,0
海万科技,产品经理,8k-16k,12.0,"
                    
                        ","“旅游,体检,过节费,年终奖”","移动互联网,金融",不需要融资,0
太美医疗科技,高级产品经理,15k-20k,17.5,"
                    
                        ",“五险一金 弹性时间 氛围轻松”,移动互联网,D轮及以上,0
黑桃互动,商务/BD/产品引进经理,8k-15k,11.5,"
                    
                ",“发展快”,游戏,不需要融资,0
黑湖科技,产品经理,18k-35k,26.5,"
                    
                        ",“硅谷文化 大牛团队 顶级vc 免费三餐”,"企业服务,数据服务",A轮,0
平安健康互联网,产品经理,16k-30k,23.0,"
                    
                        ",“上市公司，热门行业，发展空间大”,"移动互联网,医疗健康",A轮,0
途家网,产品经理,18k-35k,26.5,"
                    
                        ","“六险一金,部门旅游,晋升空间,行业独角兽”","移动互联网,O2O",D轮及以上,0
电银信息,高级产品经理,20k-35k,27.5,"
                    
                        ",“五险一金、公司团建、年度体检、”,"移动互联网,电子商务",未融资,0
上海青客,产品经理,15k-25k,20.0,"
                    
                ","“带薪年假,项目奖,年终奖”","移动互联网,O2O",C轮,0
小灶能力派,资深产品经理,25k-40k,32.5,"
                    
                ","“五险一金,带薪年假,发展空间大,股权激励”","移动互联网,教育",天使轮,0
VIP陪练,产品经理,15k-30k,22.5,"
                    
                        ","“弹性时间,帅哥美女,年终分红,五险一金”","移动互联网,教育",B轮,0
假面科技,高级产品经理,15k-20k,17.5,"
                    
                ","“薪酬福利,升职空间”","移动互联网,社交网络",B轮,0
杭州辽量数字科技有限公司,产品经理,15k-25k,20.0,"
                    
                        ","“周末双休,团建活动,下午茶,带薪年假”","移动互联网,游戏",未融资,0
红星美凯龙互联网集团,数据产品经理,15k-30k,22.5,"
                    
                        ",“平台大 福利好 组织氛围好 弹性工作”,"移动互联网,O2O",上市公司,0
有鱼金融科技,产品经理,10k-20k,15.0,"
                    
                        ",“多平台，快发展，精英团队，无限发挥！”,"移动互联网,金融",不需要融资,0
上海百秋,产品经理,20k-30k,25.0,"
                    
                        ",“电商”,"电子商务,企业服务",未融资,0
海万科技,产品经理,9k-16k,12.5,"
                    
                        ","“旅游,体检,年终奖,过节费”","移动互联网,金融",不需要融资,0
上海青客,产品经理,15k-25k,20.0,"
                    
                        ","“带薪年假,项目奖,年终奖”","移动互联网,O2O",C轮,0
泰为,高级产品经理,25k-40k,32.5,"
                    
                        ","“硅谷上市,车联网,产品管理,完善福利”",移动互联网,上市公司,0
R2.ai,AI产品经理,18k-30k,24.0,"
                    
                        ","“AI,机器学习”",人工智能,B轮,0
爱客CRM,高级产品经理,20k-30k,25.0,"
                    
                ","“五险一金,年终奖金,奖金提成,弹性工作”",移动互联网,B轮,0
哈啰出行,数据产品经理(平台),20k-35k,27.5,"
                    
                        ","“14薪,E轮,期权激励”","移动互联网,硬件",D轮及以上,0
上海众调科技,产品经理,10k-18k,14.0,"
                    
                        ","“交通便利,团队牛人,内部融洽,福利齐全”",移动互联网,A轮,0
OFFWAY,app产品经理,15k-30k,22.5,"
                    
                        ","“专车接送,做五休二,零食咖啡多,团队氛围好”",移动互联网 文化娱乐,天使轮,0
微盟,产品经理,10k-20k,15.0,"
                    
                        ","“平台大,领导nic”","移动互联网,电子商务",D轮及以上,0
麦子金服,产品经理,15k-30k,22.5,"
                    
                ",“薪资优待 福利完善”,"移动互联网,金融",A轮,0
阿拉小优,产品经理,12k-18k,15.0,"
                    
                        ","“学习机会多,空间大,福利好”","移动互联网,O2O",不需要融资,0
